skuName,category,quantity,price,cost
Parle-G Gold 100g,Biscuits,45,10,7
Britannia Good Day 100g,Biscuits,38,20,14
Sunfeast Dark Fantasy 75g,Biscuits,22,30,22
Maggi 2-Minute Noodles,Instant Food,85,12,8
Top Ramen Curry,Instant Food,42,12,8
Yippee Noodles,Instant Food,55,10,7
Amul Butter 100g,Dairy,18,55,45
Amul Cheese Slices 200g,Dairy,12,130,105
Mother Dairy Milk 500ml,Dairy,8,28,24
Aashirvaad Atta 5kg,Staples,15,285,240
Tata Salt 1kg,Staples,32,22,18
Fortune Sunflower Oil 1L,Cooking Oil,25,145,125
Saffola Gold Oil 1L,Cooking Oil,10,220,190
Tata Tea Gold 250g,Beverages,28,140,115
Red Label Tea 250g,Beverages,35,125,100
Nescafe Classic 50g,Beverages,20,180,150
Bournvita 500g,Health Drinks,16,245,205
Horlicks 500g,Health Drinks,14,280,235
Complan 500g,Health Drinks,8,295,250
Colgate MaxFresh 150g,Personal Care,42,95,75
Pepsodent 150g,Personal Care,38,55,42
Lux Soap 125g,Personal Care,55,35,28
Dettol Soap 125g,Personal Care,32,45,35
Lifebuoy Soap 125g,Personal Care,48,28,22
Clinic Plus Shampoo 340ml,Personal Care,22,145,120
Pantene Shampoo 340ml,Personal Care,15,220,185
Surf Excel 1kg,Household,18,185,155
Ariel Matic 1kg,Household,12,245,205
Vim Bar 200g,Household,45,18,14
Harpic Toilet Cleaner 500ml,Household,25,95,78
Lizol Floor Cleaner 500ml,Household,18,115,95
Lays Classic 52g,Snacks,65,20,14
Kurkure Masala Munch 82g,Snacks,48,20,14
Haldiram Bhujia 200g,Snacks,28,60,48
Bikaji Aloo Bhujia 200g,Snacks,22,55,44
Parle Monaco 200g,Snacks,35,30,22
Coca Cola 600ml,Cold Drinks,5,40,32
Pepsi 600ml,Cold Drinks,4,40,32
Sprite 600ml,Cold Drinks,6,40,32
Thums Up 600ml,Cold Drinks,7,40,32
Frooti 200ml,Juices,25,20,16
Real Juice 1L,Juices,8,110,90
Tropicana Orange 1L,Juices,6,125,105
Amul Kool 200ml,Dairy Drinks,18,15,12
Kissan Tomato Ketchup 500g,Condiments,22,95,78
Maggi Hot & Sweet 500g,Condiments,18,85,70
Everest Chilli Powder 100g,Spices,32,55,45
MDH Garam Masala 100g,Spices,28,65,52
Catch Salt & Pepper 100g,Spices,25,45,36
Tata Sampann Turmeric 200g,Spices,20,85,70
